sexo,secc,eblup,mse,se,cv
H,1,21682.037760995718,7085216.612189595,2661.8070200879692,12.276553751217751
H,10,24573.662954010102,387698.0873673374,622.6540671732076,2.5338268386707834
H,11,11091.858328249167,98863.90867378213,314.4263167640109,2.8347487630924566
H,12,21878.64855611091,614368.4621638899,783.8165998267004,3.5825640592767467
H,13,10891.520462325188,106252.35399564725,325.96373110462343,2.992821178936065
H,14,22692.002506992674,1016112.731746609,1008.0241722035286,4.4422001623386915
H,15,28805.620377460404,1967277.3312884073,1402.59663884112,4.869176988594257
H,16,8839.644538003537,129627.97152864597,360.0388472493572,4.0730014165329
H,17,8762.646474324752,58043.0614708584,240.92127650097325,2.7494122604043385
H,18,38237.48900374257,1257443.9576040213,1121.3580862525678,2.932614341236718
H,19,17936.437040994086,1147847.2766758266,1071.376346890217,5.973183773575348
H,2,18839.072755790872,9328148.980511865,3054.2018565431895,16.21206041366537
H,20,13532.38880431539,245270.35669184872,495.2477730306808,3.65972172535236
H,21,11180.329774781952,131511.98288206922,362.6458091334701,3.243605657781617
H,22,15432.823704708762,389584.91173049033,624.1673747725767,4.044414597842745
H,23,28042.470527352423,2994072.991850448,1730.3389817750879,6.170422752472282
H,24,29745.423734609063,1030248.6242344097,1015.0116374871816,3.412328721699152
H,3,16801.306566091822,3911410.876881145,1977.728716705389,11.771279268820766
H,4,24551.73233253027,4822101.675483205,2195.92843132084,8.944087535571997
H,5,23046.49138090325,3150949.428391248,1775.0913859267212,7.702219641978105
H,6,28744.328766045743,5241304.134499915,2289.389467631035,7.964664912737075
H,7,24951.781291093448,2424484.382012862,1557.0755864802652,6.240338388330072
H,8,18743.16120059847,1918144.737432913,1384.971024040905,7.38920723787342
H,9,11521.898773347957,188260.06978087034,433.889467238916,3.7657809339774233
H,99,10237.49215826835,129629.74575469925,360.041311177897,3.5168897383438606
M,1,17789.812979658305,3520405.5699384534,1876.2743855679673,10.54690337505732
M,10,22802.180278551416,225728.74138408515,475.10918890722917,2.083612983948446
M,11,10467.254302706653,76139.29479190143,275.93349704575814,2.6361592932198703
M,12,19579.30052339189,402827.6944524128,634.6870838865502,3.2416228717071554
M,13,10744.037355846152,94363.87456045861,307.1870351438332,2.859139678778979
M,14,21563.91127900813,733544.5639744719,856.4721618210787,3.97178485266182
M,15,24700.682456973936,1239342.5193497068,1113.257615895668,4.5069913263929005
M,16,7721.939232225033,83829.99593591309,289.53410150777245,3.7494998704405087
M,17,8153.915083117663,44831.52055539274,211.73455210567957,2.5967225553288755
M,18,34490.147229322414,712861.8906510002,844.3114891146514,2.4479787908729045
M,19,16470.144494363212,662396.6367719789,813.8775318019161,4.941532432095298
M,2,12563.900087680957,4027783.7549506775,2006.9339189297384,15.973813106788068
M,20,12690.759205159862,166868.7585310697,408.49572645386354,3.218843883569831
M,21,10441.495362975409,98601.4251015036,314.00863857783213,3.007314830510562
M,22,14194.230722876811,266506.0150529932,516.2422058036259,3.636986152209006
M,23,24036.556996676936,1707513.4150371114,1306.7185676484096,5.436379960029483
M,24,28579.07724048247,761867.5964188422,872.8502714777845,3.054158341548501
M,3,16987.37819037895,2772785.3208097853,1665.1682560059164,9.802385261246545
M,4,21687.228656046605,2571208.8305009305,1603.4989337386323,7.393747533028208
M,5,22366.354803085254,1928931.297441119,1388.859711216766,6.209593487380359
M,6,23369.879752392415,2829800.268014611,1682.2010189078508,7.198158641512226
M,7,23803.839171759522,1682310.8536008883,1297.0392644792555,5.448865853614241
M,8,17112.48621616199,1121910.0562577606,1059.202556765117,6.189647391883634
M,9,11183.122872396601,159527.51283790334,399.40895437872115,3.5715332732736553
M,99,9618.952254772079,100160.5607723172,316.4815330668082,3.2901871709551096
