sexo,secc,eblup,mse,se,cv
H,10,0.02400916744401169,9.207655209419652e-6,0.003034411839124619,12.638555027785667
H,11,0.0992045126167806,5.202199838112142e-5,0.007212627702933337,7.270463321356321
H,12,0.00335313254172806,3.081520953628966e-6,0.0017554261458771103,52.3518269567847
H,13,0.1125865540761942,7.60233366072427e-5,0.008719136230570246,7.74438502191787
H,14,0.018834553538602864,3.1475557275898455e-5,0.005610308126644958,29.78731678001393
H,15,0.004927729414503498,1.3424418883121542e-5,0.0036639348906771724,74.35341071880543
H,16,0.10624621862248729,6.912494456222898e-5,0.008314141240214108,7.825352608318052
H,17,0.12038364974443001,5.082418077273306e-5,0.007129107992780938,5.921990243621761
H,18,0.0016661901421393614,1.3360908682712046e-6,0.001155893969303069,69.3734730550572
H,19,0.009852309175763602,2.0548226983557964e-5,0.004533015219868334,46.00967284927905
H,2,0.02451461452274296,1.6139159118304708e-4,0.012703999023262205,51.822144751557545
H,20,0.06450927526432496,4.932349633877478e-5,0.007023068869004118,10.886913300804093
H,21,0.06322767787346728,3.563946878509102e-5,0.005969880131551305,9.441877880599016
H,22,0.056984962095894556,5.781254538784991e-5,0.007603456147558813,13.342916916859016
H,23,0.0073242827530186246,2.251169474455817e-5,0.004744649064425964,64.77970914586152
H,24,0.002175446219373072,2.0717282581719513e-6,0.0014393499429158816,66.16343488972477
H,3,0.007079611825724772,7.716509281727884e-5,0.00878436638678504,124.07977447104939
H,4,0.006088307660571023,4.91249357131131e-5,0.007008918298361959,115.12096117863716
H,5,0.006316011044922001,3.678040169813617e-5,0.006064684797921173,96.02080735430488
H,7,0.013402591516803572,3.8524408687465095e-5,0.006206803419431382,46.31047220718149
H,9,0.05993851331643834,4.409611075900844e-5,0.006640490249899359,11.078837099014569
H,99,0.10277722463306684,6.300643479290768e-5,0.007937659276695345,7.723169510593631
M,10,0.024279488918896842,7.877346193774827e-6,0.0028066610400571757,11.559802800761338
M,11,0.10955920750194807,5.276285818933966e-5,0.00726380466349004,6.630026657833284
M,12,0.008868032351407443,6.642011685770502e-6,0.0025772100585265655,29.061802623188868
M,13,0.11526073389808775,7.20856940221828e-5,0.008490329441322214,7.3661941531877355
M,14,0.017093315516711706,2.5630703104738375e-5,0.005062677464024187,29.617878749588012
M,15,0.0021738133342094268,4.023582309449527e-6,0.0020058869134249634,92.27503032841894
M,16,0.10338616688509769,6.973634695254315e-5,0.00835082911767108,8.077317661802962
M,17,0.12184728421959681,4.8569438324187454e-5,0.006969177736590412,5.719600384388011
M,18,0.002665595940356655,1.2749029429300159e-6,0.0011291160006527301,42.35885805339481
M,19,0.00815454220677991,1.4591765992381083e-5,0.003819917013808164,46.84404000793791
M,20,0.06283675147881665,4.523346717993491e-5,0.006725583036431481,10.703263421723499
M,21,0.05877735176570944,2.887120376792575e-5,0.005373193070039988,9.14160456132475
M,22,0.043297572956087424,3.746080513130911e-5,0.006120523272671145,14.135950019366225
M,24,0.0016690419023721007,1.3501802698624681e-6,0.0011619725770699015,69.61913750748052
M,3,0.013444934803122074,1.0026804469147799e-4,0.010013393265595734,74.47706822104116
M,7,0.012517658446220332,3.3533866825952514e-5,0.005790843360509116,46.261394536273215
M,8,0.011149739243469231,3.1220347266012125e-5,0.005587517093129302,50.11343288949196
M,9,0.05696967265050336,4.1556980857430426e-5,0.006446470418564753,11.315617799162123
M,99,0.10291654264445295,6.021746487919309e-5,0.007759991293757557,7.540081598510451
