sexo,secc,n_obs,y_dir,sd_dir,cv_dir,vardir,x_act,x_cta,x_jef,x_alfa
H,1,74,24836.7123513054,3388.00110628014,13.64110135978633,11478551.496155452,0.7629119527791441,0.03541564190850959,0.11854402361042794,0.9961850262279447
H,10,2820,24575.726084475045,629.8325811294279,2.5628238977130575,396689.0802521574,0.6777948345957253,0.035763086421835726,0.16280639012129083,0.993419905183212
H,11,1882,11079.856952770364,315.3064557508606,2.8457628748719777,99418.16103816942,0.6882972823072657,0.03993344425956739,0.14691200939610452,0.9805520702634881
H,12,1009,21868.244241012668,798.7969212049197,3.652771170841511,638076.5213264588,0.7032302405498282,0.033218785796105384,0.16210767468499426,0.9962624945675793
H,13,1712,10897.027128797234,326.6549859181189,2.9976523143167912,106703.47982516645,0.6797157171152278,0.04811837352906909,0.141209367354072,0.9813871196036801
H,14,641,22605.69614522989,1044.4154756952403,4.6201429453240985,1090803.685871715,0.702985300803152,0.03417184421882103,0.1547204121836642,0.9956955305258627
H,15,509,28797.749005083868,1475.0364313977473,5.122054613148232,2175732.473950601,0.7333065810593901,0.03619582664526485,0.11556982343499198,0.99728555917481
H,16,894,8920.19510099832,361.1107842469597,4.048238633329279,130400.99849945429,0.6890829694323144,0.04546622142306704,0.14693038787567428,0.9749095522247804
H,17,2095,8749.600148211171,241.167538302594,2.7563263945484406,58161.78153093315,0.6860516714327975,0.04176116753771817,0.1355635538901489,0.975402674791102
H,18,1723,38931.887617067434,1154.5398453260646,2.9655378045936907,1332962.254445533,0.6892577897070836,0.030925428871513595,0.15509394328393045,0.998238008670116
H,19,417,17855.771326703132,1109.2901528490213,6.212502011548998,1230524.643207805,0.7161764705882353,0.03823529411764706,0.14663865546218488,0.9953089130651762
H,2,65,20460.870099783202,4058.686115935969,19.83633196507598,16472932.987691402,0.7755102040816326,0.035918367346938776,0.09714285714285714,0.9906542056074766
H,20,1179,13531.482136673321,498.1005233882164,3.68104926243263,248104.13139961511,0.67543622083800825,0.04004333191472898,0.17522343018532133,0.9898931353015759
H,21,1498,11147.79698776597,364.1073686165405,3.2661822691615767,132574.1758808613,0.6829275569877074,0.040100250626566414,0.16320563313044517,0.9875881133379406
H,22,929,15394.10620564755,630.7742117205488,4.097504611791883,397876.10617167974,0.6925505371963949,0.03452314272620806,0.16696369468913896,0.9896946564885496
H,23,392,27941.706376760565,1907.8971398012757,6.828133951719195,3640071.4960618885,0.6899468604272856,0.0367639084697972,0.1508513176445071,0.9978213507625272
H,24,1170,29940.627731712262,1047.596365052079,3.498912495887635,1097458.1440703287,0.6982461696820935,0.03155310978265173,0.15669662298586642,0.9971244797578509
H,3,72,14298.886309729502,2230.1290096913526,15.596522424084794,4973475.399866933,0.7432950191570882,0.030103995621237,0.13793103448275862,0.9963427377220481
H,4,147,26634.778579767353,2622.6326308806924,9.8466470183947,6878201.916560182,0.7419265033407573,0.032015590200445435,0.13780623608017817,0.9967707212055974
H,5,218,23222.636512632467,1994.3444116977114,8.587932772460368,3977409.6324698906,0.7084447841039359,0.03611004967520061,0.15361100496752006,0.9979835013748855
H,6,141,28783.867165066786,2877.262850368961,9.996095499846243,8278641.510113319,0.7092928745597399,0.03386616093199675,0.14007044161473856,0.9971029760337108
H,7,343,25127.31755924851,1689.9004748508487,6.725351684938824,2855763.614901124,0.7256368014193385,0.037637815232543406,0.12659992396400963,0.995725973867383
H,8,261,17701.923511276218,1479.0359575176647,8.355227365972466,2187547.363630195,0.7336676006488718,0.035540480755050875,0.1266774811974635,0.9957989077160062
H,9,1032,11475.413509739807,436.1853651726915,3.801042679660104,190257.67279083421,0.685259756400696,0.04434501615709669,0.1448173005219985,0.9852585459358313
H,99,1241,10230.587329482214,361.4013124112185,3.5325568393296694,130610.90861255115,0.6952376862627216,0.041310602482071544,0.14076523382144543,0.9798755513547575
M,1,93,18693.708893577124,2248.9668479729967,12.030608055235673,5057851.883281596,0.589662027833002,0.044532803180914515,0.23021868787276342,0.9965089216446859
